
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.4)

2024-03-25T22:32:44.691+03:00  INFO 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Starting SeverstalApplication using Java 22 with PID 23628 (D:\repos\hackathon\severstal\target\classes started by rE in D:\repos\hackathon\severstal)
2024-03-25T22:32:44.692+03:00 DEBUG 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Running with Spring Boot v3.2.4, Spring v6.1.5
2024-03-25T22:33:00.545+03:00  INFO 23628 --- [severstal] [pool-4-thread-1] Tender Pro Worker                        : Parsing page#51: https://www.tender.pro/api/landings/etp?page=51&tender_name=Труба&
2024-03-25T22:33:00.545+03:00  INFO 23628 --- [severstal] [pool-4-thread-3] Tender Pro Worker                        : Parsing page#56: https://www.tender.pro/api/landings/etp?page=56&tender_name=Труба&
2024-03-25T22:33:00.545+03:00  INFO 23628 --- [severstal] [pool-4-thread-9] Tender Pro Worker                        : Parsing page#58: https://www.tender.pro/api/landings/etp?page=58&tender_name=Труба&
2024-03-25T22:33:00.545+03:00  INFO 23628 --- [severstal] [pool-4-thread-6] Tender Pro Worker                        : Parsing page#59: https://www.tender.pro/api/landings/etp?page=59&tender_name=Труба&
2024-03-25T22:33:02.645+03:00  INFO 23628 --- [severstal] [pool-4-thread-7] Tender Pro Worker                        : Parsing page#60: https://www.tender.pro/api/landings/etp?page=60&tender_name=Труба&
2024-03-25T22:33:02.645+03:00  INFO 23628 --- [severstal] [pool-4-thread-4] Tender Pro Worker                        : Parsing page#61: https://www.tender.pro/api/landings/etp?page=61&tender_name=Труба&
2024-03-25T22:33:02.645+03:00  INFO 23628 --- [severstal] [pool-4-thread-3] Tender Pro Worker                        : Parsing page#62: https://www.tender.pro/api/landings/etp?page=62&tender_name=Труба&
2024-03-25T22:33:02.645+03:00  INFO 23628 --- [severstal] [pool-4-thread-5] Tender Pro Worker                        : Parsing page#67: https://www.tender.pro/api/landings/etp?page=67&tender_name=Труба&
2024-03-25T22:33:02.645+03:00  INFO 23628 --- [severstal] [pool-4-thread-2] Tender Pro Worker                        : Parsing page#69: https://www.tender.pro/api/landings/etp?page=69&tender_name=Труба&
2024-03-25T22:33:02.645+03:00  INFO 23628 --- [severstal] [pool-4-thread-6] Tender Pro Worker                        : Parsing page#65: https://www.tender.pro/api/landings/etp?page=65&tender_name=Труба&
